Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
183,Naji Marshall,SF,26,NOP,65,1,19.3,2.6,5.6,0.462,0.9,2.3,0.387,1.7,3.3,0.514,0.541,1,1.3,0.791,0.8,2.9,3.7,2,0.8,0.2,1,1.4,7.1
184,Jaden Hardy,SG,21,DAL,71,6,13.1,2.6,6.3,0.408,1.1,3,0.364,1.5,3.3,0.448,0.496,0.8,1,0.771,0.3,1.4,1.7,1.5,0.3,0.1,0.8,1,7
185,James Wiseman,C,22,DET,60,4,16.6,2.9,4.6,0.627,0,0,0,2.9,4.6,0.631,0.627,1.1,1.6,0.72,1.7,3.4,5.1,0.8,0.2,0.6,1.1,2.3,6.9
186,Day'Ron Sharpe,C,22,BRK,61,1,15.1,2.8,4.8,0.571,0.1,0.2,0.267,2.7,4.6,0.588,0.578,1.2,2,0.61,2.6,3.7,6.4,1.4,0.4,0.7,1.1,2.1,6.8
187,Cedi Osman,SF,28,SAS,72,3,17.6,2.6,5.3,0.479,1.2,3.1,0.389,1.4,2.3,0.601,0.591,0.5,0.7,0.673,0.3,2.2,2.5,1.7,0.5,0.2,0.7,1.5,6.8
188,Cason Wallace,SG,20,OKC,80,13,20.7,2.6,5.4,0.487,1.2,2.9,0.412,1.5,2.5,0.571,0.596,0.4,0.5,0.784,0.6,1.7,2.3,1.5,0.9,0.5,0.6,1.6,6.8
189,Aaron Wiggins,SG,25,OKC,76,4,15.6,2.6,4.7,0.557,0.8,1.6,0.484,1.8,3.1,0.596,0.64,0.7,0.9,0.788,0.8,1.6,2.3,1.1,0.7,0.3,0.7,1.2,6.7
190,Julian Champagnie,SF,22,SAS,72,57,19.5,2.2,5.4,0.402,1.3,3.8,0.359,0.8,1.6,0.5,0.527,1,1.2,0.814,0.6,2.2,2.8,1.3,0.7,0.6,0.8,1.1,6.7
191,Trendon Watford,PF,23,BRK,61,0,12.8,2.5,4.7,0.531,0.4,1,0.391,2.1,3.7,0.571,0.575,1.1,1.4,0.805,0.8,2,2.8,1.2,0.4,0.3,0.9,1.6,6.6
192,David Roddy,PF,22,TOT,64,13,18.3,2.6,6.4,0.403,0.8,2.6,0.293,1.8,3.8,0.478,0.462,0.7,1.1,0.691,0.8,2.5,3.3,1.2,0.4,0.2,0.9,1.1,6.6
193,Peyton Watson,SF,21,DEN,78,4,18.6,2.6,5.5,0.463,0.6,1.9,0.293,2,3.6,0.553,0.514,0.9,1.4,0.67,0.7,2.5,3.2,1.1,0.5,1.1,0.7,1.8,6.6
194,Isaiah Jackson,C,22,IND,59,3,13.1,2.6,3.9,0.665,0,0.1,0,2.6,3.9,0.677,0.665,1.2,1.7,0.716,1.6,2.4,4,0.8,0.6,1,0.7,2.3,6.5
195,Kyle Anderson,PF,30,MIN,77,10,22.7,2.6,5.5,0.462,0.1,0.6,0.229,2.4,4.9,0.492,0.475,1.3,1.8,0.719,0.8,2.8,3.5,4.2,0.9,0.6,1.1,1.6,6.5
196,Jeff Green,PF,37,HOU,75,6,16.7,2.1,4.6,0.455,0.6,2,0.324,1.5,2.7,0.553,0.524,1.6,1.9,0.814,0.6,1.6,2.2,0.9,0.2,0.4,0.6,1.3,6.4
197,Aaron Holiday,PG,27,HOU,75,1,16.2,2.3,5.2,0.442,1.1,2.7,0.393,1.2,2.5,0.497,0.546,0.7,0.8,0.915,0.3,1.3,1.6,1.8,0.5,0.1,0.7,1.6,6.4
198,Amir Coffey,SF,26,LAC,68,12,20.5,2.3,4.7,0.478,1,2.5,0.399,1.3,2.2,0.566,0.583,0.8,1,0.862,0.4,1.6,2,1.1,0.6,0.2,0.5,1.4,6.3
199,Patrick Beverley,PG,35,TOT,71,11,19.9,2.2,5.2,0.418,0.9,2.5,0.339,1.3,2.7,0.492,0.5,1,1.2,0.818,0.7,2.6,3.3,2.9,0.6,0.4,0.9,1.8,6.2
200,Haywood Highsmith,PF,27,MIA,64,26,20.5,2.3,5,0.461,1.2,2.9,0.398,1.1,2.1,0.549,0.577,0.4,0.5,0.657,1,2.2,3.2,1.1,0.8,0.5,0.5,1.8,6.1
201,Daniel Theis,C,31,TOT,58,3,16.5,2.5,4.7,0.529,0.4,1.1,0.381,2.1,3.6,0.574,0.574,0.6,0.8,0.739,1.4,2.5,3.9,1,0.3,0.8,0.7,2.1,6
